influencedBy,economist
Eugen_von_Böhm-Bawerk,Andreas_Freytag
Jan_Tinbergen,Andreas_Freytag
Joseph_Schumpeter,Anthony_Downs
Kenneth_J._Arrow,Anthony_Downs
Murray_Rothbard,Leland_B._Yeager
Ludwig_von_Mises,Leland_B._Yeager
Frédéric_Bastiat,Leonard_Read
Murray_Rothbard,Leonard_Read
Ludwig_von_Mises,Leonard_Read
Ayn_Rand,Leonard_Read
Albert_Jay_Nock,Leonard_Read
Henry_Hazlitt,Leonard_Read
Milton_Friedman,Leonard_Read
Friedrich_Hayek,Leonard_Read
Friedrich_Hayek,Leonid_Hurwicz
Tjalling_Koopmans,Leonid_Hurwicz
Jacob_Marschak,Leonid_Hurwicz
Ludwig_von_Mises,Lionel_Robbins
William_Stanley_Jevons,Lionel_Robbins
Philip_Wicksteed,Lionel_Robbins
Nathan_Isaacs,Lionel_Robbins
Robert_von_Mohl,Lorenz_von_Stein
Benjamin_Constant,Lorenz_von_Stein
Henri_de_Saint-Simon,Lorenz_von_Stein
Charles_Fourier,Lorenz_von_Stein
Marquis_de_Condorcet,Lorenz_von_Stein
Jean_de_Sismondi,Lorenz_von_Stein
G._W._F._Hegel,Lorenz_von_Stein
Max_Weber,Ludwig_Lachmann
Friedrich_Hayek,Ludwig_Lachmann
G._L._S._Shackle,Ludwig_Lachmann
Ludwig_von_Mises,Ludwig_Lachmann
Alfred_Schütz,Ludwig_Lachmann
"Richard_Kahn,_Baron_Kahn",Luigi_Pasinetti
Piero_Sraffa,Luigi_Pasinetti
Max_Weber,Luiz_Carlos_Bresser-Pereira
Celso_Furtado,Luiz_Carlos_Bresser-Pereira
Nicholas_Kaldor,Luiz_Carlos_Bresser-Pereira
