economist,influencedBy
Frank_Knight,John_Bates_Clark
Frank_Knight,Herbert_J._Davenport
Franz_Gehrels,Hans-Werner_Sinn
Franz_Hermann_Schulze-Delitzsch,Friedrich_Wilhelm_Raiffeisen
Franz_Hermann_Schulze-Delitzsch,Ferdinand_Lassalle
Franz_Oppenheimer,David_Ricardo
Franz_Oppenheimer,Ludwig_Gumplowicz
Franz_Oppenheimer,Henry_George
Franz_Palm,Jacques_Drèze
Franz_Palm,Arnold_Zellner
François_Simiand,Émile_Durkheim
François_Simiand,Henri_Bergson
Frederic_Sterling_Lee,Alfred_Eichner
Frederic_Sterling_Lee,Karl_Marx
Frederic_Sterling_Lee,Gardiner_C._Means
Frederic_Sterling_Lee,John_Maynard_Keynes
Friedrich_Hayek,Eugen_von_Böhm-Bawerk
Friedrich_Hayek,Carl_Menger
Friedrich_Hayek,Dean_Tucker
Friedrich_Hayek,Voltaire
Friedrich_Hayek,John_Stuart_Mill
Friedrich_Hayek,C._Schmitt
Friedrich_Hayek,Edward_Gibbon
Friedrich_Hayek,Frank_Fetter
Friedrich_Hayek,Friedrich_von_Wieser
Friedrich_Hayek,Tocqueville
Friedrich_Hayek,Adam_Ferguson
Friedrich_Hayek,Adam_Smith
Friedrich_Hayek,Algernon_Sidney
Friedrich_Hayek,Jean-Jacques_Rousseau
Friedrich_Hayek,John_Maynard_Keynes
Friedrich_Hayek,Karl_Marx
Friedrich_Hayek,David_Hume
Friedrich_Hayek,H._Belloc
Friedrich_Hayek,Ludwig_Wittgenstein
Friedrich_Hayek,Bernard_Mandeville
Friedrich_Hayek,John_Locke
Friedrich_Hayek,Ludwig_von_Mises
Friedrich_Hayek,Edmund_Burke
Friedrich_Hayek,E._Mach
Friedrich_Hayek,O._Spann
Friedrich_Hayek,Lord_Acton
Friedrich_Hayek,W._Eucken
Friedrich_Hayek,Karl_Popper
Friedrich_Hayek,Knut_Wicksell
Friedrich_List,Jean-Antoine_Chaptal
Friedrich_von_Wieser,Carl_Menger
Friedrich_von_Wieser,Eugen_von_Böhm-Bawerk
Fritz_Machlup,Friedrich_Hayek
Fritz_Machlup,Friedrich_von_Wieser
Fritz_Machlup,Ludwig_von_Mises
Frédéric_Lordon,Baruch_Spinoza
Fumio_Hayashi,Christopher_A._Sims
Fumio_Hayashi,Edward_C._Prescott
Fumio_Hayashi,Takashi_Negishi
Fumio_Hayashi,Martin_Feldstein
Gary_Becker,Theodore_Schultz
Gary_Becker,Milton_Friedman
Gary_Smith,James_Tobin
Georg_Friedrich_Knapp,Ferdinand_Lassalle
George_Akerlof,John_Maynard_Keynes
George_Grantham,Adam_Smith
George_Grantham,John_Maynard_Keynes
George_Loewenstein,Richard_Thaler
George_Reisman,Carl_Menger
George_Reisman,David_Ricardo
George_Reisman,John_Stuart_Mill
George_Reisman,Frédéric_Bastiat
George_Reisman,Ludwig_von_Mises
George_Reisman,Ayn_Rand
George_Reisman,Adam_Smith
George_Reisman,Eugen_von_Böhm-Bawerk
George_Reisman,Henry_Hazlitt
George_Reisman,James_Mill
George_S._Tolley,D._Gale_Johnson
George_S._Tolley,Theodore_Schultz
George_Selgin,David_Laidler
George_Selgin,Friedrich_Hayek
George_Selgin,Lawrence_H._White
