influencedBy,economist
John_Maynard_Keynes,Thomas_Mayer
Adam_Smith,Thomas_Piketty
John_Maynard_Keynes,Thomas_Piketty
David_Hume,Thomas_Robert_Malthus
David_Ricardo,Thomas_Robert_Malthus
Voltaire,Thomas_Robert_Malthus
Edward_Gibbon,Thomas_Robert_Malthus
William_Godwin,Thomas_Robert_Malthus
Adam_Smith,Thomas_Robert_Malthus
Jean-Jaques_Rousseau,Thomas_Robert_Malthus
Edward_Bellamy,Thorstein_Veblen
Georges_Vacher_de_Lapouge,Thorstein_Veblen
Thomas_Paine,Thorstein_Veblen
Lester_Frank_Ward,Thorstein_Veblen
William_Graham_Sumner,Thorstein_Veblen
William_James,Thorstein_Veblen
Henri_de_Saint-Simon,Thorstein_Veblen
Herbert_Spencer,Thorstein_Veblen
Charles_Fourier,Thorstein_Veblen
John_Dewey,Thorstein_Veblen
Karl_Marx,David_Gordon
Max_Weber,Ludwig_von_Mises
Edmund_Husserl,Ludwig_von_Mises
Jean-Baptiste_Say,Ludwig_von_Mises
Immanuel_Kant,Ludwig_von_Mises
Eugen_von_Böhm-Bawerk,Andreas_Freytag
Milton_Friedman,Andrei_Shleifer
James_Tobin,Andrew_Metrick
Joseph_Schumpeter,Anthony_Downs
Karl_Marx,Anu_Muhammad
Murray_Rothbard,Leland_B._Yeager
Ludwig_von_Mises,Leland_B._Yeager
Frédéric_Bastiat,Leonard_Read
